record_type,equation,noise,trial,mode,condition,gen,fitness,avg_fit,r2,complexity,solved,best_found,wall_time_s
gen_log,I.6.2b,0.0,0,hybrid,hybrid,56,5.825508570274999e-05,0.0007373390562199672,0.808075141146577,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(sin(exp(cos(sqrt(0.912748094538613 - theta1/theta) - 0.912748094538613 + theta1/theta)) - 0.791187387735747*sqrt(log(theta))) - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*log(theta))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,57,5.823727730390522e-05,0.0003097209164791644,0.6680429383664629,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(sin(exp(cos(sqrt(-4*sigma**2*(1.0057807139806 + I*pi)**2/theta1**4 + exp(exp(2*theta1)*cos(sigma)**2)) - 0.912748094538613 + theta1/theta)) - 0.791187387735747*sqrt(log(theta))) - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*log(theta))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,58,5.823727730390522e-05,0.0005005250146605468,0.6392234451463799,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(sin(exp(cos(sqrt(0.912748094538613 - theta1/theta) - sin((-theta1**2 + theta1)*exp(sin(exp(theta1))**2)) + theta1/theta)) - 0.791187387735747*sqrt(log(theta))) - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*log(theta))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,59,5.823723988507015e-05,0.00014498644848655366,0.7693059984859691,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(sin(exp(cos(sqrt(0.912748094538613 - theta1/theta) - 1.36738541928718*sqrt(I)*log(sigma - theta + theta1) + theta1/theta)) - 0.791187387735747*sqrt(log(theta))) - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*log(theta))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,60,5.823723988507015e-05,0.00027248332674205807,0.7786128031276699,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(sin(exp(cos(sqrt(0.912748094538613 - (4.0505735514036*sigma - 14.2109341069088)**2/theta) - 0.912748094538613 + theta1/theta)) - 0.791187387735747*sqrt(log(theta))) - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*log(theta))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,61,5.823723850368744e-05,0.00022165408069342788,0.7081915264510354,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(sin(exp(cos(sqrt(0.912748094538613 - theta1/theta) - 0.912748094538613 + theta1/theta)) - sqrt(log(theta))*sin(sin(sin(log(log(theta1)**4))))) - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*log(theta))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,62,5.713384448203174e-05,9.577115274905843e-05,0.8153206759324748,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(sin(exp(cos(sqrt(sin(sqrt(sigma)) - theta1/theta) - 0.912748094538613 + theta1/theta)) - 0.791187387735747*sqrt(log(theta))) - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*log(theta))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,63,5.713384448203174e-05,0.00012899008223255488,0.8153206759324748,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(sin(exp(cos(sqrt(sin(sqrt(sigma)) - theta1/theta) - 0.912748094538613 + theta1/theta)) - 0.791187387735747*sqrt(log(theta))) - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*log(theta))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,64,5.7133844482015495e-05,0.00016110205056963045,0.7381471841903644,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(sin(exp(cos(sqrt(sin(sqrt(sigma)) - theta1/theta) + sin(sin(theta - theta1 + cos(theta))) + theta1/theta)) - 0.791187387735747*sqrt(log(theta))) - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*log(theta))))**2/sigma**3,
gen_log,I.6.2b,0.0,0,hybrid,hybrid,65,5.7133844482015495e-05,0.00013695797982971373,0.80764722403411,,,0.506947319664469*(-sigma + 0.506947319664469*theta*sqrt(sin(exp(cos(sqrt(sin(sqrt(sigma)) - (theta**2 - log(theta))/theta) - 0.912748094538613 + theta1/theta)) - 0.791187387735747*sqrt(log(theta))) - theta1/theta)/(theta1*(exp(cos(0.405800774874144 - theta1/theta)) - 0.791187387735747*log(theta))))**2/sigma**3,
